epoch,train_loss,train_acc,val_loss,val_s2t_acc,val_t2s_acc,val_acc,val_pos_sim,temperature
157,4.7736,0.5215,3.9252,0.6111,0.5185,0.5648,0.8567,0.0841
158,4.7749,0.5488,3.9251,0.6296,0.5,0.5648,0.866,0.0842
159,4.775,0.4824,3.925,0.5926,0.463,0.5278,0.8761,0.0843
160,4.7732,0.5527,3.9257,0.6111,0.5185,0.5648,0.8725,0.0844
161,4.7735,0.6016,3.9261,0.6481,0.5185,0.5833,0.8596,0.0845
162,4.7736,0.5645,3.9271,0.5185,0.4815,0.5,0.8395,0.0846
163,4.7726,0.5996,3.9264,0.537,0.4815,0.5093,0.8428,0.0847
164,4.7724,0.5996,3.9256,0.5556,0.5185,0.537,0.8533,0.0848
165,4.7725,0.5703,3.9249,0.5556,0.5185,0.537,0.8609,0.0849
166,4.7751,0.4727,3.9247,0.6111,0.537,0.5741,0.8655,0.085
167,4.7726,0.5723,3.9245,0.6111,0.5185,0.5648,0.8608,0.0851
168,4.7722,0.6172,3.9243,0.537,0.537,0.537,0.8536,0.0852
169,4.7727,0.5332,3.9249,0.5926,0.5556,0.5741,0.837,0.0853
170,4.7742,0.4961,3.9254,0.6111,0.537,0.5741,0.837,0.0854
171,4.7725,0.541,3.9253,0.5926,0.4815,0.537,0.8501,0.0855
172,4.7726,0.5703,3.9258,0.5926,0.4444,0.5185,0.8524,0.0856
173,4.7729,0.541,3.9262,0.5926,0.4074,0.5,0.8534,0.0857
174,4.7721,0.5918,3.9262,0.5741,0.4259,0.5,0.8538,0.0858
175,4.7714,0.5664,3.9264,0.5556,0.5,0.5278,0.8404,0.0859
176,4.7711,0.5645,3.9279,0.5185,0.5,0.5093,0.8114,0.086
177,4.7725,0.5215,3.9285,0.4815,0.4259,0.4537,0.8016,0.0861
178,4.7707,0.5996,3.9268,0.5556,0.5185,0.537,0.8216,0.0862
179,4.7699,0.5762,3.925,0.6296,0.4815,0.5556,0.8415,0.0863
180,4.7707,0.5898,3.9242,0.5741,0.463,0.5185,0.8493,0.0864
181,4.7706,0.5898,3.9241,0.6296,0.4444,0.537,0.8449,0.0865
182,4.772,0.5781,3.9243,0.6481,0.4259,0.537,0.8452,0.0866
183,4.7704,0.6328,3.9237,0.6296,0.463,0.5463,0.8534,0.0867
184,4.7714,0.6016,3.9233,0.6111,0.4815,0.5463,0.856,0.0868
185,4.77,0.6367,3.9235,0.5926,0.463,0.5278,0.8546,0.0869
186,4.7718,0.6094,3.9242,0.5556,0.4815,0.5185,0.8512,0.087
187,4.7702,0.5762,3.9241,0.5741,0.5,0.537,0.8536,0.0871
188,4.7702,0.6211,3.9244,0.6111,0.5,0.5556,0.8526,0.0872
189,4.7698,0.6348,3.9241,0.5741,0.537,0.5556,0.8538,0.0873
190,4.7699,0.6074,3.9243,0.5926,0.5185,0.5556,0.8566,0.0874
191,4.7694,0.5879,3.9238,0.5556,0.5185,0.537,0.8684,0.0875
